title,company,experience,location,skills,link,salary,employment_type,posted_date,work_mode,job_description,scraped_timestamp
Python Software Developer -DN,Infosys,5-10 Yrs,"Hyderabad, Chennai, Bengaluru","Python, Django, Machine Learning, Open Systems, System, Software development, Development, Machine",https://www.naukri.com/job-listings-python-software-developer-dn-infosys-hyderabad-chennai-bengaluru-5-to-10-years-060126012566,N/A,Not specified,1 week ago,Not specified,"Educational Requirements Bachelor of Engineering, BCA, BSc, MTech, MCA, MSc Preferred S...",2026-07-10 23:07:01
Python Trainer & Developer ( Night Shift and Work From Home),Wonksknow Technologies,0-2 Yrs,Remote,"python, mca fresher, computer science, B.tech, communication skills, Java, software, mca",https://www.naukri.com/job-listings-python-trainer-developer-night-shift-and-work-from-home-wonksknow-technologies-bengaluru-0-to-2-years-100426011916,8-10 Lacs PA,Not specified,1 day ago,Remote,This will be a Work from Home position which requires strong Wi-Fi connection with powe...,2026-07-10 23:07:01
